Destiny,Fate
Courageous,Cowardly
Compromising,Indecisive
Stalwart,Treacherous
Calm,Agitated
Humble,Cruel
Optimistic,Pessimistic
Careful,Careless
Free-spirited,Stagnant
Compassionate,Despondent
Dispassionate,Cold
Perceptive,Insensitive
Bold,Boastful
Exacting,Petty
Logical,Arbitrary
Emotional,Hysterical
Affable,Standoffish
Gregarious,Inhibited
Ambitious,Apathetic
Hopeful,Remorseful
Reflective,Excessively
Practical,Deluded
Daring,Stubborn
Carefree,Peevish
Joyful,Depressed
Expressive,Deceptive
Charismatic,Manipulative
Devoted,Capricious
Thoughtful,Reactionary
Enthusiastic,Overzealous
Conciliatory,Pugnacious
Industrious,Slothful
Merry,Dour
Competitive,Complacent
Confident,Apprehensive
Adventurous,Reckless
Witty,Sluggish
Diplomatic,Domineering
Moderate,Obsessive
Hardworking,Idle
Resolute,Cynical
Curious,Jaded
Honest,Self-righteous
Generous,Greedy
Judicious,Narrow-minded
Meticulous,Sloppy
Forward-thinking,Miserly
Hopeful,Hopeless
Magnanimous,Envious
Patient,Impatient
Dedicated,Mercenary
Appreciative,Fearful
Open-minded,Intolerant
Inquisitive,Wasteful
Determined,Hasty
Nurturing,Suspicious
Resourceful,Sneaky
